Company,Stand Info,Country,Description,Keywords,combined_text,competitor
MARKETPRO,"Stand No- 21C-01, Hall 21",Pakistan,Market Pro is a hybrid marketing agency with in-house creative teams providing state-of-the-art marketing solutions to local and global businesses. We help businesses achieve explosive growth in the competitive world of SaaS and ...,"Creative Economy, Media, Marketing & Advertising Tech, Gaming, Education Tech, Ecommerce, Advertising, Publishing, Research and Development, Software, Video","MARKETPRO Creative Economy, Media, Marketing & Advertising Tech, Gaming, Education Tech, Ecommerce, Advertising, Publishing, Research and Development, Software, Video Market Pro is a hybrid marketing agency with in-house creative teams providing state-of-the-art marketing solutions to local and global businesses. We help businesses achieve explosive growth in the competitive world of SaaS and ...",8
MARKOUB.MA,"Stand No- 21G-17, Hall 21",Morocco,"MarKoub.ma is the pioneering online bus ticketing platform in Morocco and Africa. Partnering with more than 90 of the best local bus companies, we empower travelers with the flexibility to select their optimal journey options and ...","Future Mobility & Transportation, Mobility As A Service - Maas, Payments & Ticketing","MARKOUB.MA Future Mobility & Transportation, Mobility As A Service - Maas, Payments & Ticketing MarKoub.ma is the pioneering online bus ticketing platform in   and Africa. Partnering with more than 90 of the best local bus companies  we empower travelers with the flexibility to select their optimal journey options and ...",1
MAROC DATACENTER - MDC,"Stand No- 12B-60, Hall 12",Morocco,"MDC is a Moroccan company that provides exclusive IT Datacenter services, encompassing both public and private Cloud & Managed services. Based in Temara in proximity to Rabat, the company empowers major Moroccan enterprises fro ...","Data Centres, Co-location, Consultancy, Data Building & Verification, Data Centre Infrastructure Management, Data Management Solutions, Data Warehousing, Disaster Recovery, Security - Data & Virtual","MAROC DATACENTER - MDC Data Centres, Co-location, Consultancy, Data Building & Verification, Data Centre Infrastructure Management, Data Management Solutions, Data Warehousing, Disaster Recovery, Security - Data & Virtual MDC is a   company that provides exclusive IT Datacenter services  encompassing both public and private Cloud & Managed services. Based in Temara in proximity to Rabat  the company empowers major   enterprises fro ...",3
MAROC SCHOOL BUS,"Stand No- 9G-23, Hall 9",Morocco,"Maroc School Bus offers a comprehensive solution that revolutionizes school transportation management with an innovative approach, combining simplicity, optimization, and safety, thereby enhancing the experience of all stakeholder ...","Cloud Services, Coding and Development, Applications including Development, Deployment & Design, Software as a Service - SaaS, Total Solution Provider, Backend Development, Cloud Computing, Devops, Enterprise Applications, Frontend Development","MAROC SCHOOL BUS Cloud Services, Coding and Development, Applications including Development, Deployment & Design, Software as a Service - SaaS, Total Solution Provider, Backend Development, Cloud Computing, Devops, Enterprise Applications, Frontend Development   School Bus offers a comprehensive solution that revolutionizes school transportation management with an innovative approach  combining simplicity  optimization  and safety  thereby enhancing the experience of all stakeholder ...",2
MARRAKECH LAUNCHPAD,"Stand No- 9L-37,9L-38, Hall 9",France,"Marrakech Launchpad is an incubator and a clear roadmap. CEO Aziz Kemiha, a systems architect, led digital transformations in Europe, including at IBM and Bosch. They promote startup incubation in Marrakech. Their first SaaS proje ...","Incubator/Accelerator/Investment, Software Services, Retail Tech, Coding and Development, 3D Printing & Printing Services, Cloud Computing, Customer Experience & Retention - CRM Systems, Industrial 3D Printing, Business Process Management, CRM (Customer Relationship Management) Software","MARRAKECH LAUNCHPAD Incubator/Accelerator/Investment, Software Services, Retail Tech, Coding and Development, 3D Printing & Printing Services, Cloud Computing, Customer Experience & Retention - CRM Systems, Industrial 3D Printing, Business Process Management, CRM (Customer Relationship Management) Software Marrakech Launchpad is an incubator and a clear roadmap. CEO Aziz Kemiha  a systems architect  led digital transformations in Europe  including at IBM and Bosch. They promote startup incubation in Marrakech. Their first SaaS proje ...",4
MARRAKECH-SAFI REGIONAL INVESTMENT CENTER,"Stand No- 14B-45, Hall 14",Morocco,"The Marrakech-Safi Regional Investment Center is a public institution focused on implementing state policies for regional development, incentives, promotion, and investment attraction, while also providing comprehensive support fo ...",Incubator/Accelerator/Investment,MARRAKECH-SAFI REGIONAL INVESTMENT CENTER Incubator/Accelerator/Investment The Marrakech-Safi Regional Investment Center is a public institution focused on implementing state policies for regional development  incentives  promotion  and investment attraction  while also providing comprehensive support fo ...,1
MARSES ROBOTIC SOLUTIONS,"Stand No- 15B-40, Hall 15",Egypt,"MARSES is the leading company in Robotics, Industrial Automation, and AI-based solutions in the MENA Region. Since MARSES was established in 2018, we have been pioneering the transformation of industries across the MENA Region wi ...",,MARSES ROBOTIC SOLUTIONS  MARSES is the leading company in Robotics  Industrial Automation  and AI-based solutions in the MENA Region. Since MARSES was established in 2018  we have been pioneering the transformation of industries across the MENA Region wi ...,8
MASSINART,"Stand No- 9G-32, Hall 9",Morocco,We help people to decorate their walls with beautiful wall art using AR,,MASSINART  We help people to decorate their walls with beautiful wall art using AR,2
MASTERY,"Stand No- 8P-30, Hall 8",Morocco,"Traditional GPS tracking often involves manually reviewing data and system-generated reports. This process includes tracking the location, speed, route, and stop durations of vehicles or assets. Systems may also provide alerts for ...","Artificial Intelligence, Internet of Things (IOT), Data Extraction, Neural Networks, Application Development, Artificial Intelligence, Connectivity Modules, Data Analytics, IoT Solutions, Telemetry","MASTERY Artificial Intelligence, Internet of Things (IOT), Data Extraction, Neural Networks, Application Development, Artificial Intelligence, Connectivity Modules, Data Analytics, IoT Solutions, Telemetry Traditional GPS tracking often involves manually reviewing data and system-generated reports. This process includes tracking the location  speed  route  and stop durations of vehicles or assets. Systems may also provide alerts for ...",10
MATHSCAN,"Stand No- 21E-03, Hall 21",Morocco,"Mathematics by nature is an interconnected subject. A small skills gap quickly becomes a gaping hole as new concepts are introduced. Thus, many low confident, frustrated and disengaged students are left behind every year. MATHSCA ...","Education Tech, Animation & Simulation, Artificial Intelligence & IOT, Assessment and testing, Blended learning, Collaborative learning and technology, Content development and design, Didactics System & Pneumatics, EdTech & Smart Classroom Solution, Educational Support & Other Service","MATHSCAN Education Tech, Animation & Simulation, Artificial Intelligence & IOT, Assessment and testing, Blended learning, Collaborative learning and technology, Content development and design, Didactics System & Pneumatics, EdTech & Smart Classroom Solution, Educational Support & Other Service Mathematics by nature is an interconnected subject. A small skills gap quickly becomes a gaping hole as new concepts are introduced. Thus  many low confident  frustrated and disengaged students are left behind every year. MATHSCA ...",9
MAUA MAZURI,"Stand No- 8N-08, Hall 8",Tanzania,"‘Maua – Mazuri’ a Swahili word for ‘Beautiful Plants’ is a ‘Purpose-before-Profit’ company based on the slopes of Kilimanjaro, in Tanzania, specializing in technologically advanced Tissue Culture (TC) Technology farm ...","Digital Finance, Education Tech, AgriTech & FoodTech, Agriculture 4.0 (Crop Production and Livestock), Biotechnology, Climate-Smart Agriculture, Organic Agriculture, Banking Solutions, Coaching and mentoring","MAUA MAZURI Digital Finance, Education Tech, AgriTech & FoodTech, Agriculture 4.0 (Crop Production and Livestock), Biotechnology, Climate-Smart Agriculture, Organic Agriculture, Banking Solutions, Coaching and mentoring ‘Maua – Mazuri’ a Swahili word for ‘Beautiful Plants’ is a ‘Purpose-before-Profit’ company based on the slopes of Kilimanjaro  in Tanzania  specializing in technologically advanced Tissue Culture (TC) Technology farm ...",2
MAURITECH DIGITAL,"Stand No- 7A-20, Hall 7",Mauritania,"Our agency offers a comprehensive range of digital marketing solutions designed to meet the diverse needs of both businesses and individuals. We also provide a variety of services, including: Digital strategy Website and app cre ...","Creative Economy, Retail Tech, Ecommerce, Coding and Development, Big Data & Analytics, Dashboard, Data Analytics, Digital Transformation, Web Development, Advertising","MAURITECH DIGITAL Creative Economy, Retail Tech, Ecommerce, Coding and Development, Big Data & Analytics, Dashboard, Data Analytics, Digital Transformation, Web Development, Advertising Our agency offers a comprehensive range of digital marketing solutions designed to meet the diverse needs of both businesses and individuals. We also provide a variety of services  including: Digital strategy Website and app cre ...",8
MAWITESSIA,"Stand No- 21G-10, Hall 21",Morocco,"Mawitessia, a joint venture between MAWI DNA Technologies and BIOTESSIA, is revolutionizing biotechnology in Africa. Established in 2022 in Morocco, our state-of-the-art facility manufactures cutting-edge biosampling kits designed ...",,MAWITESSIA  Mawitessia  a joint venture between MAWI DNA Technologies and BIOTESSIA  is revolutionizing biotechnology in Africa. Established in 2022 in    our state-of-the-art facility manufactures cutting-edge biosampling kits designed ...,1
MAWNOR,"Stand No- 21H-19, Hall 21",Morocco,"At Mawnor, we're pioneering the future of water accessibility with our state-of-the-art water machines. These machines aren't just cutting-edge in their technology, they're a beacon of hope for communities worldwide, ensuring tha ...","Sustainability & Green Climate - Tech, Energy Management & Sustainability, Environmental Solutions - Water","MAWNOR Sustainability & Green Climate - Tech, Energy Management & Sustainability, Environmental Solutions - Water At Mawnor  we're pioneering the future of water accessibility with our state-of-the-art water machines. These machines aren't just cutting-edge in their technology  they're a beacon of hope for communities worldwide  ensuring tha ...",2
MAXTOP,"Stand No- 6E-9, Hall 6",China,"Maxtop was founded in 2012, a professional OEM&ODM manufacturer for smart watches and IOT related device, integrating with design, production, marketing and service. With advanced technology and standardized management, Maxtop is ...","Mobile Accessories & Peripherals, Internet of Things (IOT), Consumer Tech, Smart Home & Smart Workplace, Wearables, Wearables, Wearables - Smart watches, Wearables - Wearables electronics","MAXTOP Mobile Accessories & Peripherals, Internet of Things (IOT), Consumer Tech, Smart Home & Smart Workplace, Wearables, Wearables, Wearables - Smart watches, Wearables - Wearables electronics Maxtop was founded in 2012  a professional OEM&ODM manufacturer for smart watches and IOT related device  integrating with design  production  marketing and service. With advanced technology and standardized management  Maxtop is ...",1
MCKINSEY & COMPANY,Stand No- Executive briefings,United States of America,"McKinsey is a global management consulting firm committed to helping organizations accelerate sustainable and inclusive growth. We work with clients across the private, public, and social sectors to solve complex problems and crea ...","Blockchain, Big Data & Analytics, Artificial Intelligence, AgriTech & FoodTech, 5G & Telecommunications, Mobile Telecommunications & 5G, Agri-Data and Analytics, Cloud Solutions, Data Management, Green Productivity","MCKINSEY & COMPANY Blockchain, Big Data & Analytics, Artificial Intelligence, AgriTech & FoodTech, 5G & Telecommunications, Mobile Telecommunications & 5G, Agri-Data and Analytics, Cloud Solutions, Data Management, Green Productivity McKinsey is a global management consulting firm committed to helping organizations accelerate sustainable and inclusive growth. We work with clients across the private  public  and social sectors to solve complex problems and crea ...",9
MCS ENGINEERING,"Stand No- 5D-50, Hall 5",Morocco,"Créée en 2004, MCS ENGINEERING a réussi le pari de devenir un partenaire privilégié dans les métiers de l’Informatique industrielle, Acquisition de données et Transport de l’information, des industries de toutes tailles ...","Internet of Things (IOT), Ecommerce, Big Data & Analytics, Artificial Intelligence, AgriTech & FoodTech, Adaptive Irrigation, Agriculture 4.0 (Crop Production and Livestock), AI & Nutrition, Digital control systems, Machine Learning","MCS ENGINEERING Internet of Things (IOT), Ecommerce, Big Data & Analytics, Artificial Intelligence, AgriTech & FoodTech, Adaptive Irrigation, Agriculture 4.0 (Crop Production and Livestock), AI & Nutrition, Digital control systems, Machine Learning Créée en 2004  MCS ENGINEERING a réussi le pari de devenir un partenaire privilégié dans les métiers de l’Informatique industrielle  Acquisition de données et Transport de l’information  des industries de toutes tailles ...",8
MECER INTER-ED,"Stand No- 4B-25, Hall 4",South Africa,"Mecer Inter-Ed is a global award-winning Training Services Provider, providing IT training and certification for multiple accredited international vendors. Based in Johannesburg, South Africa, Mecer Inter-Ed is committed to deli ...","Education Tech, Certification & Licensing, Collaborative learning and technology, Educational Support & Other Service, Learning management infrastructure, methods and systems, Training centre resources, Virtual classroom technology and services","MECER INTER-ED Education Tech, Certification & Licensing, Collaborative learning and technology, Educational Support & Other Service, Learning management infrastructure, methods and systems, Training centre resources, Virtual classroom technology and services Mecer Inter-Ed is a global award-winning Training Services Provider  providing IT training and certification for multiple accredited international vendors. Based in Johannesburg  South Africa  Mecer Inter-Ed is committed to deli ...",7
MECHATRONICS,"Stand No- 3A-12A, Hall 3",Belarus,"Our company is a leading manufacturer of equipment for telematics solutions . Our sensors are used in transport monitoring systems and for mobile and stationary objects monitoring, oil storage facilities, agricultural, special and ...","Smart Manufacturing, Data Centres, Consumer Tech, Smart Home & Smart Workplace, AgriTech & FoodTech, 5G & Telecommunications, Geospatial Solutions & Services, Marine Communication Equipment & Services, Service Providers, Telecommunication Integration & Equipment Services, Wireless","MECHATRONICS Smart Manufacturing, Data Centres, Consumer Tech, Smart Home & Smart Workplace, AgriTech & FoodTech, 5G & Telecommunications, Geospatial Solutions & Services, Marine Communication Equipment & Services, Service Providers, Telecommunication Integration & Equipment Services, Wireless Our company is a leading manufacturer of equipment for telematics solutions . Our sensors are used in transport monitoring systems and for mobile and stationary objects monitoring  oil storage facilities  agricultural  special and ...",3
MEDCO,"Stand No- 9D-27, Hall 9",Morocco,"Based on advanced AI algorithms that analyze radiological images (X-Rays, IRM, ...), MedCo offers a solution that is connecting all medical specialties in one powerful diagnostic solution providing detailed insights that facilitat ...",,MEDCO  Based on advanced AI algorithms that analyze radiological images (X-Rays  IRM  ...)  MedCo offers a solution that is connecting all medical specialties in one powerful diagnostic solution providing detailed insights that facilitat ...,6
MEDIANOVA CDN & CLOUD SECURITY,"Stand No- 2A-10, Hall 2",Türkiye,"Medianova provides global CDN and Cloud security solutions. The Gartner-mentioned company has deep experience in Dynamic Site Caching, Static Content Delivery, Image Optimization, API Caching, Streaming, Hybrid CDN, Cloud Object S ...","Media, Marketing & Advertising Tech, Gaming, Ecommerce, Cyber security, Cloud Services, Cloud Service Provider - CSP, Content Delivery & Management, Cybersecurity, Managed Service Provider - MSP, Private Cloud","MEDIANOVA CDN & CLOUD SECURITY Media, Marketing & Advertising Tech, Gaming, Ecommerce, Cyber security, Cloud Services, Cloud Service Provider - CSP, Content Delivery & Management, Cybersecurity, Managed Service Provider - MSP, Private Cloud Medianova provides global CDN and Cloud security solutions. The Gartner-mentioned company has deep experience in Dynamic Site Caching  Static Content Delivery  Image Optimization  API Caching  Streaming  Hybrid CDN  Cloud Object S ...",7
MEDIOT,"Stand No- 16D-1, Hall 16",Morocco,"Mediot, Disruptive medical technologies for preventive and advanced medicine",,MEDIOT  Mediot  Disruptive medical technologies for preventive and advanced medicine,1
MEDRICK GAMES,"Stand No- 8K-08, Hall 8",United Arab Emirates,Medrick is a video game publisher and development company founded in 2008 with the intention of developing and publishing AAA mobile and PC games in the MENA region. Medrick currently is one of the biggest publishers and developer ...,"Gaming, Game Publishing, Marketing / Advertising, Mobile Gaming, PC Gaming, Production","MEDRICK GAMES Gaming, Game Publishing, Marketing / Advertising, Mobile Gaming, PC Gaming, Production Medrick is a video game publisher and development company founded in 2008 with the intention of developing and publishing AAA mobile and PC games in the MENA region. Medrick currently is one of the biggest publishers and developer ...",1
MEETION,"Stand No- 5A-8, Hall 5",China,MEETION Owning more than 200 employees ; Factory area more than 10000?; Six full automatic production assembly lines; More than 10 full intelligent injection molding machines; Computers and gaming accessories monthly output more t ...,"Gaming, Consumer Tech, Smart Home & Smart Workplace, Computer and Mobile Hardware, Storage & Peripherals, Headphones, Gaming Equipment, PC Gaming","MEETION Gaming, Consumer Tech, Smart Home & Smart Workplace, Computer and Mobile Hardware, Storage & Peripherals, Headphones, Gaming Equipment, PC Gaming MEETION Owning more than 200 employees ; Factory area more than 10000?; Six full automatic production assembly lines; More than 10 full intelligent injection molding machines; Computers and gaming accessories monthly output more t ...",2
MENTORCLASS ACADEMY,"Stand No- 21E-13, Hall 21",Morocco,"MentorClass Academy, * Born with the idea of revolutionizing the mode of education and learning in Africa * Encouraging individuals in search of meaning to invest in themselves * Assisting companies in enriching their training cat ...",,MENTORCLASS ACADEMY  MentorClass Academy  * Born with the idea of revolutionizing the mode of education and learning in Africa * Encouraging individuals in search of meaning to invest in themselves * Assisting companies in enriching their training cat ...,5
METRIC TREE LABS,"Stand No- 8L-07, Hall 8",India,"In today's fast-paced digital landscape, bringing a unique and superior software product to market and scaling it can be a daunting challenge for many businesses. The lack of in-house technical expertise, the time-consuming proces ...","Software Services, HealthTech, Ecommerce, Cloud Services, Coding and Development, Applications including Development, Deployment & Design, Cloud Management & Optimisation, Consultancy, Customer Relationship Management - CRM, Enterprise Resource Planning - ERP","METRIC TREE LABS Software Services, HealthTech, Ecommerce, Cloud Services, Coding and Development, Applications including Development, Deployment & Design, Cloud Management & Optimisation, Consultancy, Customer Relationship Management - CRM, Enterprise Resource Planning - ERP In today's fast-paced digital landscape  bringing a unique and superior software product to market and scaling it can be a daunting challenge for many businesses. The lack of in-house technical expertise  the time-consuming proces ...",7
MİA TEKNOLOJİ A.Ş.,"Stand No- 19-B50, Hall 18",Türkiye,"MIA Teknoloji Anonim Sirketi is a leading R&D, innovation, and tech solution provider company that creates several solutions in different verticals of state-of-the-art technology. Founded in 2006 in Ankara, Turkey, MIA Teknoloji h ...","HealthTech, Future Mobility & Transportation, Cloud Services, Coding and Development, Artificial Intelligence, Computer Vision, Deep Learning Platforms, Facial / Iris Recognition, Machine Learning, Natural Language Processing (NLP)","MİA TEKNOLOJİ A.Ş. HealthTech, Future Mobility & Transportation, Cloud Services, Coding and Development, Artificial Intelligence, Computer Vision, Deep Learning Platforms, Facial / Iris Recognition, Machine Learning, Natural Language Processing (NLP) MIA Teknoloji Anonim Sirketi is a leading R&D  innovation  and tech solution provider company that creates several solutions in different verticals of state-of-the-art technology. Founded in 2006 in Ankara  Turkey  MIA Teknoloji h ...",9
MICROCARE FOR TECHNOLOGY,"Stand No- 17C-10, Hall 17",Jordan,"microcare is a custom services firm based in Amman, Al Karak, Riyadh, Jeddah & Hyderabad - India, which has extensive experience in many diverse areas of both software and marketing. our strong business focus and technology expert ...","Quantum & High Performance Computing, Internet of Things (IOT), HealthTech, Coding and Development, Cloud Services, Analyst, Analytics, Applications including Development, Deployment & Design, Big Data & Analytics, Cloud Management & Optimisation","MICROCARE FOR TECHNOLOGY Quantum & High Performance Computing, Internet of Things (IOT), HealthTech, Coding and Development, Cloud Services, Analyst, Analytics, Applications including Development, Deployment & Design, Big Data & Analytics, Cloud Management & Optimisation microcare is a custom services firm based in Amman  Al Karak  Riyadh  Jeddah & Hyderabad - India  which has extensive experience in many diverse areas of both software and marketing. our strong business focus and technology expert ...",8
MICROSOFT MAROC SARL,"Stand No- 4B-25, Hall 4",United States of America,"Across the world, AI has become a business imperative for companies to stay competitive. Microsoft’s goal is to democratise our breakthroughs in AI to help people and organisations in Africa be more productive and go on to solve ...",,MICROSOFT MAROC SARL  Across the world  AI has become a business imperative for companies to stay competitive. Microsoft’s goal is to democratise our breakthroughs in AI to help people and organisations in Africa be more productive and go on to solve ...,9
MIFA MUSIQUE,"Stand No- 6B-40, Hall 6",Morocco,MIFA Musique aims to represent and distribute the YAMAHA Music brand throughout Morocco as well as a wide range of leading brands in professional audio and sound systems. Building on its exclusive partnership with major internati ...,"5G & Telecommunications, Cabling, Communication Equipment, Fixed Line Telecommunications, Marine Communication Equipment & Services, Military Communication Equipment & Services, Mobile Telecommunications & 5G, Telecommunication Integration & Equipment Services, Video, Wireless","MIFA MUSIQUE 5G & Telecommunications, Cabling, Communication Equipment, Fixed Line Telecommunications, Marine Communication Equipment & Services, Military Communication Equipment & Services, Mobile Telecommunications & 5G, Telecommunication Integration & Equipment Services, Video, Wireless MIFA Musique aims to represent and distribute the YAMAHA Music brand throughout   as well as a wide range of leading brands in professional audio and sound systems. Building on its exclusive partnership with major internati ...",1
MILLENIUM CONNECT,"Stand No- 8M-43, Hall 8",Morocco,"Millenium Connect is a cutting-edge SaaS solution designed for the modern hospitality industry, aiming to streamline operations and enhance guest experiences through technological innovation. Our platform integrates a comprehensiv ...",,MILLENIUM CONNECT  Millenium Connect is a cutting-edge SaaS solution designed for the modern hospitality industry  aiming to streamline operations and enhance guest experiences through technological innovation. Our platform integrates a comprehensiv ...,2
MINDEO,"Stand No- 4A-5, Hall 4",China,"Shenzhen MinDe electronics technology Ltd. (Mindeo) is located in Shenzhen High-tech Industrial Park and was initially founded in 2004. Mindeo is a prestigious high-tech company specializing in designing, developing and manufactu ...","Retail Tech, Payments - POS Payments, Store Operations - Scanners/ Hand-Held Terminals, Supply Chain & Logistics - Delivery & Returns, inc. Final Mile","MINDEO Retail Tech, Payments - POS Payments, Store Operations - Scanners/ Hand-Held Terminals, Supply Chain & Logistics - Delivery & Returns, inc. Final Mile Shenzhen MinDe electronics technology Ltd. (Mindeo) is located in Shenzhen High-tech Industrial Park and was initially founded in 2004. Mindeo is a prestigious high-tech company specializing in designing  developing and manufactu ...",3
MINDWARE,"Stand No- 5B-40, Hall 5",United Arab Emirates,"Mindware, a leading IT distributor in the MEA region, takes pride in offering top-quality global brands to over 5,000 partners with legal entities in 13 countries. With a rich history dating back to 1991 and headquartered in Dubai ...","Networking & Infrastructure, Cyber security, Big Data & Analytics, Cloud Solutions, Data Analytics, Cloud Security, Data Governance, Risk & Compliance, Software Development Security, Telecommunication & Network Security, Data Management Technology","MINDWARE Networking & Infrastructure, Cyber security, Big Data & Analytics, Cloud Solutions, Data Analytics, Cloud Security, Data Governance, Risk & Compliance, Software Development Security, Telecommunication & Network Security, Data Management Technology Mindware  a leading IT distributor in the MEA region  takes pride in offering top-quality global brands to over 5 000 partners with legal entities in 13 countries. With a rich history dating back to 1991 and headquartered in Dubai ...",5
MIPIH - SIB,"Stand No- 17A-10, Hall 17",France,"As a software publisher and 1st HDS-certified French hosting provider, Mipih is at the side of the health organizations : health establishments, medico-social activities, consulting services, with an innovative mindset. Our ambi ...","Software Services, HealthTech, Data Centres, Cyber security, Big Data & Analytics, Artificial Intelligence, Data Analytics, Data back-up, Data Infrastructure, Data Integration","MIPIH - SIB Software Services, HealthTech, Data Centres, Cyber security, Big Data & Analytics, Artificial Intelligence, Data Analytics, Data back-up, Data Infrastructure, Data Integration As a software publisher and 1st HDS-certified French hosting provider  Mipih is at the side of the health organizations : health establishments  medico-social activities  consulting services  with an innovative mindset. Our ambi ...",8
MISSAAN FINTECH LLC,"Stand No- 4D-44, Hall 4",Saudi Arabia,"Dawul is the first platform has a licensed by the CMA in social trading, and it is Helps beginner investors who are looking for a professional method to start trading, By allowing them to simulate the most successful trading exper ...",,MISSAAN FINTECH LLC  Dawul is the first platform has a licensed by the CMA in social trading  and it is Helps beginner investors who are looking for a professional method to start trading  By allowing them to simulate the most successful trading exper ...,1
MITI SPHERE SOLUTIONS PVT LTD,"Stand No- 8L-34, Hall 8",India,"MITI Sphere Solutions has more than 8 years of experience in successfully enabling enterprises to become more productive and functional. MITI provides comprehensive solution for building applications, products, and solutions. At M ...","Digital Finance, Education Tech, Cyber security, Coding and Development, Artificial Intelligence, Computer Vision, Data Extraction, Facial / Iris Recognition, Natural Language Generation (NLG), Natural Language Processing (NLP)","MITI SPHERE SOLUTIONS PVT LTD Digital Finance, Education Tech, Cyber security, Coding and Development, Artificial Intelligence, Computer Vision, Data Extraction, Facial / Iris Recognition, Natural Language Generation (NLG), Natural Language Processing (NLP) MITI Sphere Solutions has more than 8 years of experience in successfully enabling enterprises to become more productive and functional. MITI provides comprehensive solution for building applications  products  and solutions. At M ...",8
MITSUMI DISTRIBUTION FZCO,"Stand No- 5B-20, Hall 5",United Arab Emirates,"Starting of with a single product and a team of 2 employees, the company has evolved into an international business group consisting of technology, real estate, hospitality, textile and infrastructure entities. MITSUMI was formed ...","Networking & Infrastructure, Data Centres, Cyber security, Cloud Services, Big Data & Analytics, Data Infrastructure, Applications including Development, Deployment & Design, Application integration and infrastructure, Data Warehousing, Enterprise Software Application","MITSUMI DISTRIBUTION FZCO Networking & Infrastructure, Data Centres, Cyber security, Cloud Services, Big Data & Analytics, Data Infrastructure, Applications including Development, Deployment & Design, Application integration and infrastructure, Data Warehousing, Enterprise Software Application Starting of with a single product and a team of 2 employees  the company has evolved into an international business group consisting of technology  real estate  hospitality  textile and infrastructure entities. MITSUMI was formed ...",7
MLNETWORKS,"Stand No- 21E-12, Hall 21",Morocco,"Helps Telcos to design, operate, and optimize their networks more intelligently through an end-to-end data platform.",,MLNETWORKS  Helps Telcos to design  operate  and optimize their networks more intelligently through an end-to-end data platform.,2
MOBIBLANC,"Stand No- 12C-60, Hall 12",Morocco,"Mobiblanc, an enterprise within the expansive Arrabet Holding network, specializes in transforming businesses through innovative digital applications. Our mission is to provide substantial business value by assisting organizations ...",,MOBIBLANC  Mobiblanc  an enterprise within the expansive Arrabet Holding network  specializes in transforming businesses through innovative digital applications. Our mission is to provide substantial business value by assisting organizations ...,8
MOBIHEALTH,"Stand No- 8C-14, Hall 8",Nigeria,"MobiHealth International is a leading healthcare technology company dedicated to revolutionizing healthcare access globally. Our comprehensive platform offers telemedicine services, remote patient monitoring, and personalized well ...","HealthTech, Community Health Services, Healthcare IT, Other Business","MOBIHEALTH HealthTech, Community Health Services, Healthcare IT, Other Business MobiHealth International is a leading healthcare technology company dedicated to revolutionizing healthcare access globally. Our comprehensive platform offers telemedicine services  remote patient monitoring  and personalized well ...",4
MOBILE AND ELECTRONIC EXPORTS PROMOTION COUNCIL (MEDEPC),"Stand No- 21J-05 to 21J-I4, Hall 21",India,"The Mobile and Electronic Devices Export Promotion Council was established in 2021, as an approved Export Promotion Council under the administrative umbrella of the Ministry of Commerce & Industry and the Ministry of Electronic an ...",,MOBILE AND ELECTRONIC EXPORTS PROMOTION COUNCIL (MEDEPC)  The Mobile and Electronic Devices Export Promotion Council was established in 2021  as an approved Export Promotion Council under the administrative umbrella of the Ministry of Commerce & Industry and the Ministry of Electronic an ...,1
MODCOD / NEARSECURE,"Stand No- 11C-45, Hall 11",Morocco,Cyber security services Cyber security solutions PASSI Integration,,MODCOD / NEARSECURE  Cyber security services Cyber security solutions PASSI Integration,5
MOHE BIOTECH (SUISSE) S.A.,"Stand No- 16E-09, Hall 16",Switzerland,"MOHE BioTech via Lab-on-a-Chip technologies, data intelligence and innovative product design is unceasingly developing healthcare solutions.",,MOHE BIOTECH (SUISSE) S.A.  MOHE BioTech via Lab-on-a-Chip technologies  data intelligence and innovative product design is unceasingly developing healthcare solutions.,1
MONECO,"Stand No- 8D-14, Hall 8",France,"Moneco is a neobank for the African diaspora in Europe (22m people) and their relatives or anyone in francophone Africa (400m people, 75% still unbanked). Only with a passeport, our users can open an EUR FR account, get a VISA car ...",,MONECO  Moneco is a neobank for the African diaspora in Europe (22m people) and their relatives or anyone in francophone Africa (400m people  75% still unbanked). Only with a passeport  our users can open an EUR FR account  get a VISA car ...,1
MOROCCAN INFORMATION TECHNOPARK COMPANY,"Stand No- 14B-40, Hall 14",Morocco,"Technopark Morocco, the country’s first technology business incubator, was inaugurated in Casablanca in 2001. It was established with the aim of fostering innovation and economic dynamism by providing a platform for local and in ...",,MOROCCAN INFORMATION TECHNOPARK COMPANY  Technopark    the country’s first technology business incubator  was inaugurated in Casablanca in 2001. It was established with the aim of fostering innovation and economic dynamism by providing a platform for local and in ...,1
MOROCCO E-GOV,"Stand No- 15C-40, Hall 15",Morocco,Pavillon de l'e-Gouvernement Marocain,"Smart Cities, Government Authorities & Municipalities, Smart Services","MOROCCO E-GOV Smart Cities, Government Authorities & Municipalities, Smart Services Pavillon de l'e-Gouvernement  ain",3
MOROCCO WORLD NEWS,"Stand No- 16E-08, Hall 16",Morocco,Morocco World News (MWN) is Morocco’s top Anglophone news outlet. Our audience consists of Moroccans (30-40%) and Morocco-focused people in Europe and North America. Our popular social media platforms have 1 million followers an ...,"Creative Economy, Media, Marketing & Advertising Tech, Gaming, Advertising, Design, Fashion, Photography, Publishing, Marketing / Advertising, Content Marketing","MOROCCO WORLD NEWS Creative Economy, Media, Marketing & Advertising Tech, Gaming, Advertising, Design, Fashion, Photography, Publishing, Marketing / Advertising, Content Marketing   World News (MWN) is  ’s top Anglophone news outlet. Our audience consists of  s (30-40%) and  -focused people in Europe and North America. Our popular social media platforms have 1 million followers an ...",2
